Country,sum_migrants,pct_of_pop,Population,Region
Kenya,525484,0.009995131,52574000,Africa
Kiribati,4075,0.034533898,118000,Oceania
Korea (Democratic People's Rep. of),113121,NA,NA,Asia
Kuwait,205441,0.048833135,4207000,Asia
Kyrgyzstan,754981,0.117671602,6416000,Asia
Lao People's Democratic Republic,1345584,0.187694797,7169000,Asia
Latvia,332243,0.174222863,1907000,Europe
Lebanon,843524,0.123034422,6856000,Asia
Lesotho,341581,0.160744,2125000,Africa
Liberia,219348,0.044429411,4937000,Africa
Libya,180611,0.026650583,6777000,Africa
Liechtenstein,3713,0.097710526,38000,Europe
Lithuania,610229,0.221097464,2760000,Europe
Luxembourg,75472,0.122519481,616000,Europe
Madagascar,162393,0.006021469,26969000,Africa
Malawi,324543,0.017421386,18629000,Africa
Malaysia,1689059,0.052865696,31950000,Asia
Maldives,3053,0.005749529,531000,Asia
Mali,1264322,0.064315902,19658000,Africa
Malta,111166,0.25265,440000,Europe
Marshall Islands,7820,0.132542373,59000,Oceania
Martinique,1253,0.003332447,376000,Latin America and the Caribbean
Mauritania,127946,0.028269112,4526000,Africa
Mauritius,183270,0.144307087,1270000,Africa
Mayotte,4,1.50E-05,266000,Africa
Mexico,11794456,0.09245043,127576000,Latin America and the Caribbean
Micronesia (Fed. States of) ,9532,NA,NA,Oceania
Monaco,31453,0.806487179,39000,Europe
Mongolia,73494,0.022788837,3225000,Asia
Montenegro,153016,0.243656051,628000,Europe
Montserrat,21537,4.3074,5000,Latin America and the Caribbean
Morocco,3134758,0.085949715,36472000,Africa
Mozambique,1013421,0.033373543,30366000,Africa
Myanmar,2844691,0.0526356,54045000,Asia
Namibia,195519,0.078364329,2495000,Africa
Nauru,2415,0.219545455,11000,Oceania
Nepal,2285295,0.079880282,28609000,Asia
Netherlands,962463,0.056294262,17097000,Europe
New Caledonia,2447,0.008646643,283000,Oceania
New Zealand,783888,0.163890445,4783000,Oceania
Nicaragua,692377,0.105771005,6546000,Latin America and the Caribbean
Niger,392234,0.016826134,23311000,Africa
Nigeria,1472847,0.00732891,200964000,Africa
Niue,5579,2.7895,2000,Oceania
North Macedonia,667844,0.320616419,2083000,Europe
Northern Mariana Islands,363,0.006368421,57000,Oceania
Norway,205112,0.038131995,5379000,Europe
Oman,22461,0.004514774,4975000,Asia
Pakistan,6509653,0.030058657,216565000,Asia
Palau,276,0.015333333,18000,Oceania
Panama,161471,0.038028968,4246000,Latin America and the Caribbean
Papua New Guinea,5290,0.00060278,8776000,Oceania
Paraguay,876638,0.124434067,7045000,Latin America and the Caribbean
Peru,1539564,0.047356629,32510000,Latin America and the Caribbean
Philippines,5916155,0.054719933,108117000,Asia
Poland,4571361,0.120654587,37888000,Europe
Portugal,2136234,0.20890221,10226000,Europe
Puerto Rico,1842651,0.628247869,2933000,Latin America and the Caribbean
Qatar,26312,0.00929096,2832000,Asia
Republic of Korea,2297212,0.044845525,51225000,Asia
Republic of Moldova,1029526,0.254644076,4043000,Europe
Réunion,2031,0.002284589,889000,Africa
Romania,3650002,0.188484482,19365000,Europe
Russian Federation,10684497,0.073245702,145872000,Europe
Rwanda,499213,0.039535361,12627000,Africa
Saint Helena,6205,1.034166667,6000,Africa
Saint Kitts and Nevis,32746,0.617849057,53000,Latin America and the Caribbean
