hdi,year,total,stock,share
Medium,1990,imm_share,0.03381778467046905,TRUE
Medium,1990,emi_share,0.04366754191241209,TRUE
Medium,1990,fb_share,0.03659431267973852,TRUE
Medium,1990,disp_share,0.04391706843669018,TRUE
Medium,1995,emi,56.436997,FALSE
Medium,1995,imm,29.169314,FALSE
Medium,1995,fb,31.938586,FALSE
Medium,1995,pop,1259.841941,FALSE
Medium,1995,disp,56.695323,FALSE
Medium,1995,imm_share,0.023153153622466994,TRUE
Medium,1995,emi_share,0.044796886945360076,TRUE
Medium,1995,fb_share,0.025351264282127913,TRUE
Medium,1995,disp_share,0.04500193330204428,TRUE
Medium,2000,emi,57.07161,FALSE
Medium,2000,imm,23.542141,FALSE
Medium,2000,fb,25.756988,FALSE
Medium,2000,pop,2568.365069,FALSE
Medium,2000,disp,57.612225,FALSE
Medium,2000,imm_share,0.009166197315230657,TRUE
Medium,2000,emi_share,0.022220988242228738,TRUE
Medium,2000,fb_share,0.010028554083251318,TRUE
Medium,2000,disp_share,0.022431478178618694,TRUE
Medium,2005,emi,52.229967,FALSE
Medium,2005,imm,14.712463,FALSE
Medium,2005,fb,16.02408,FALSE
Medium,2005,pop,2601.502947,FALSE
Medium,2005,disp,52.79622,FALSE
Medium,2005,imm_share,0.0056553704914945845,TRUE
Medium,2005,emi_share,0.020076843295615147,TRUE
Medium,2005,fb_share,0.006159547125817651,TRUE
Medium,2005,disp_share,0.020294507089020798,TRUE
Medium,2010,emi,48.57073,FALSE
Medium,2010,imm,13.87446,FALSE
Medium,2010,fb,14.667689,FALSE
Medium,2010,pop,2025.227353,FALSE
Medium,2010,disp,48.693963,FALSE
Medium,2010,imm_share,0.006850816022925798,TRUE
Medium,2010,emi_share,0.023982853050079262,TRUE
Medium,2010,fb_share,0.007242490073162665,TRUE
Medium,2010,disp_share,0.024043702020846644,TRUE
Medium,2015,emi,61.63335,FALSE
Medium,2015,imm,15.74232,FALSE
Medium,2015,fb,18.947713,FALSE
Medium,2015,pop,2378.209162,FALSE
Medium,2015,disp,61.693705,FALSE
Medium,2015,imm_share,0.006619400955785234,TRUE
Medium,2015,emi_share,0.02591586601582523,TRUE
Medium,2015,fb_share,0.00796721890687931,TRUE
Medium,2015,disp_share,0.025941244355529063,TRUE
Medium,2019,emi,66.647131,FALSE
Medium,2019,imm,15.32732,FALSE
Medium,2019,fb,17.419117,FALSE
Medium,2019,pop,2374.459064,FALSE
Medium,2019,disp,66.689506,FALSE
Medium,2019,imm_share,0.006455078646072628,TRUE
Medium,2019,emi_share,0.028068342811405064,TRUE
Medium,2019,fb_share,0.007336035926707389,TRUE
Medium,2019,disp_share,0.028086188981356976,TRUE
Very High,1990,emi,8.531835,FALSE
Very High,1990,imm,38.964843,FALSE
Very High,1990,fb,44.104151,FALSE
Very High,1990,pop,550.309387,FALSE
Very High,1990,disp,8.840837,FALSE
Very High,1990,imm_share,0.07080533954257262,TRUE
Very High,1990,emi_share,0.015503706099783465,TRUE
Very High,1990,fb_share,0.08014428254701024,TRUE
Very High,1990,disp_share,0.016065212058612405,TRUE
Very High,1995,emi,15.598145,FALSE
Very High,1995,imm,63.156249,FALSE
Very High,1995,fb,68.096029,FALSE
Very High,1995,pop,715.491569,FALSE
Very High,1995,disp,16.229615,FALSE
Very High,1995,imm_share,0.08826973193865825,TRUE
Very High,1995,emi_share,0.02180059930237976,TRUE
Very High,1995,fb_share,0.09517376856749517,TRUE
Very High,1995,disp_share,0.022683167353995753,TRUE
Very High,2000,emi,24.198768,FALSE
Very High,2000,imm,79.983564,FALSE
Very High,2000,fb,85.36196,FALSE
Very High,2000,pop,896.268092,FALSE
Very High,2000,disp,24.911245,FALSE
Very High,2000,imm_share,0.08924066885112318,TRUE
Very High,2000,emi_share,0.026999475063316212,TRUE
Very High,2000,fb_share,0.0952415474364561,TRUE
Very High,2000,disp_share,0.02779441243346193,TRUE
Very High,2005,emi,31.268089,FALSE
Very High,2005,imm,100.527328,FALSE
Very High,2005,fb,106.681539,FALSE
Very High,2005,pop,1009.42435,FALSE
Very High,2005,disp,32.00236,FALSE
Very High,2005,imm_share,0.09958876858875061,TRUE
Very High,2005,emi_share,0.03097615883746018,TRUE
Very High,2005,fb_share,0.10568552165400012,TRUE
Very High,2005,disp_share,0.03170357441842967,TRUE
Very High,2010,emi,38.645809,FALSE
Very High,2010,imm,132.003686,FALSE
Very High,2010,fb,138.928086,FALSE
Very High,2010,pop,1134.445212,FALSE
Very High,2010,disp,39.38596,FALSE
Very High,2010,imm_share,0.11635968366183205,TRUE
Very High,2010,emi_share,0.034065822299049905,TRUE
Very High,2010,fb_share,0.1224634601393161,TRUE
