hdi,year,total,stepladder,share
Medium,1990,emi_share,0.03190291303025453,TRUE
Medium,1990,fb_share,0.032425624295398456,TRUE
Medium,1990,disp_share,0.03209286075230497,TRUE
Medium,1995,emi,45.450899,FALSE
Medium,1995,imm,23.320495,FALSE
Medium,1995,fb,28.528431,FALSE
Medium,1995,pop,1182.354359,FALSE
Medium,1995,disp,46.464874,FALSE
Medium,1995,imm_share,0.01972377808944163,TRUE
Medium,1995,emi_share,0.03701800322474266,TRUE
Medium,1995,fb_share,0.024128494797556712,TRUE
Medium,1995,disp_share,0.03781261942536669,TRUE
Medium,2000,emi,51.81404,FALSE
Medium,2000,imm,20.982284,FALSE
Medium,2000,fb,25.823471,FALSE
Medium,2000,pop,2546.366398,FALSE
Medium,2000,disp,54.687297,FALSE
Medium,2000,imm_share,0.008240088314266232,TRUE
Medium,2000,emi_share,0.019942433266830716,TRUE
Medium,2000,fb_share,0.010141302139504592,TRUE
Medium,2000,disp_share,0.02102505500179611,TRUE
Medium,2005,emi,46.807135,FALSE
Medium,2005,imm,12.526399,FALSE
Medium,2005,fb,15.287695,FALSE
Medium,2005,pop,2563.570462,FALSE
Medium,2005,disp,49.136669,FALSE
Medium,2005,imm_share,0.004886309616091995,TRUE
Medium,2005,emi_share,0.017931174039262948,TRUE
Medium,2005,fb_share,0.005963438581701056,TRUE
Medium,2005,disp_share,0.018806803264318873,TRUE
Medium,2010,emi,61.558882,FALSE
Medium,2010,imm,13.549965,FALSE
Medium,2010,fb,17.430224,FALSE
Medium,2010,pop,3580.797644,FALSE
Medium,2010,disp,64.503413,FALSE
Medium,2010,imm_share,0.003784063314134598,TRUE
Medium,2010,emi_share,0.016900839212355568,TRUE
Medium,2010,fb_share,0.004867693104413805,TRUE
Medium,2010,disp_share,0.017694948096573633,TRUE
Medium,2015,emi,54.310863,FALSE
Medium,2015,imm,10.652245,FALSE
Medium,2015,fb,14.253012,FALSE
Medium,2015,pop,2306.493051,FALSE
Medium,2015,disp,56.140896,FALSE
Medium,2015,imm_share,0.0046183728996632475,TRUE
Medium,2015,emi_share,0.023005241001985224,TRUE
Medium,2015,fb_share,0.0061795165581879745,TRUE
Medium,2015,disp_share,0.023761994984997988,TRUE
Medium,2020,emi,56.026887,FALSE
Medium,2020,imm,11.415735,FALSE
Medium,2020,fb,17.276268,FALSE
Medium,2020,pop,2227.576005,FALSE
Medium,2020,disp,65.638816,FALSE
Medium,2020,imm_share,0.0051247342287654065,TRUE
Medium,2020,emi_share,0.024534426364704393,TRUE
Medium,2020,fb_share,0.007755635705009312,TRUE
Medium,2020,disp_share,0.028623055894683665,TRUE
Very High,1990,emi,9.384235,FALSE
Very High,1990,imm,41.608487,FALSE
Very High,1990,fb,46.5763,FALSE
Very High,1990,pop,565.587618,FALSE
Very High,1990,disp,9.69795,FALSE
Very High,1990,imm_share,0.07356682797818957,TRUE
Very High,1990,emi_share,0.016321207640054687,TRUE
Very High,1990,fb_share,0.08235028228641314,TRUE
Very High,1990,disp_share,0.016857627827715643,TRUE
Very High,1995,emi,20.970412,FALSE
Very High,1995,imm,65.066717,FALSE
Very High,1995,fb,71.104631,FALSE
Very High,1995,pop,816.014698,FALSE
Very High,1995,disp,21.615094,FALSE
Very High,1995,imm_share,0.07973718752796288,TRUE
Very High,1995,emi_share,0.025054701391282814,TRUE
Very High,1995,fb_share,0.08713645866216983,TRUE
Very High,1995,disp_share,0.02580506830874516,TRUE
Very High,2000,emi,25.941756,FALSE
Very High,2000,imm,79.993324,FALSE
Very High,2000,fb,86.816637,FALSE
Very High,2000,pop,918.648234,FALSE
Very High,2000,disp,26.651537,FALSE
Very High,2000,imm_share,0.08707720870663536,TRUE
Very High,2000,emi_share,0.027463509326411558,TRUE
Very High,2000,fb_share,0.09450476666349308,TRUE
Very High,2000,disp_share,0.028193741094220577,TRUE
Very High,2005,emi,33.011239,FALSE
Very High,2005,imm,99.077185,FALSE
Very High,2005,fb,107.494832,FALSE
Very High,2005,pop,1020.257704,FALSE
Very High,2005,disp,33.785622,FALSE
Very High,2005,imm_share,0.09710996017139607,TRUE
Very High,2005,emi_share,0.031341699780850746,TRUE
Very High,2005,fb_share,0.10536047076984385,TRUE
Very High,2005,disp_share,0.03205335223573153,TRUE
Very High,2010,emi,42.421296,FALSE
Very High,2010,imm,130.630556,FALSE
Very High,2010,fb,139.565116,FALSE
Very High,2010,pop,1172.958858,FALSE
