alpha3,name,country_code,year,fb,pop,fb_share,refugee,pob_code,disp,imm,disp_share
MNP,Northern Mariana Islands*,580,2000,40122,57453,69.83447339564513,~,580,2765,NA,0.04812629453640367
MNP,Northern Mariana Islands*,580,2005,37542,56547,66.39078996233222,~,580,2725,NA,0.048190001237908286
MNP,Northern Mariana Islands*,580,2010,24168,53971,44.77960386133294,~,580,2611,NA,0.04837783253969725
MNP,Northern Mariana Islands*,580,2015,21648,55779,38.810304953477115,~,580,2607,NA,0.046738019684827624
MNP,Northern Mariana Islands*,580,2020,21843,57557,37.95020588286394,~,580,2741,NA,0.047622356967875326
PLW,Palau,585,1990,2801,15063,18.595233353249686,~,585,2957,NA,0.19630883622120426
PLW,Palau,585,1995,4749,17158,27.678051054901502,~,585,2844,NA,0.16575358433383844
PLW,Palau,585,2000,6310,19104,33.02973199329983,~,585,3998,NA,0.2092755443886097
PLW,Palau,585,2005,6043,19784,30.544884755357867,~,585,3782,NA,0.19116457743631218
PLW,Palau,585,2010,5490,17954,30.578144146151274,~,585,2619,NA,0.14587278600868886
PLW,Palau,585,2015,4937,17665,27.947919615058026,~,585,2559,NA,0.14486272289838664
PLW,Palau,585,2020,5088,18092,28.122927260667694,~,585,2656,NA,0.1468052177758125
ASM,American Samoa*,16,1990,21283,47351,44.947308398977846,~,16,2041,NA,0.043103630335156594
ASM,American Samoa*,16,1995,23098,53158,43.451597125550244,~,16,2638,NA,0.04962564430565484
ASM,American Samoa*,16,2000,24912,57816,43.08841843088418,~,16,3186,NA,0.05510585305105853
ASM,American Samoa*,16,2005,24233,59557,40.68875195191161,~,16,2588,NA,0.043454169954833186
ASM,American Samoa*,16,2010,23555,56084,41.999500748876684,~,16,2157,NA,0.03846016689251837
ASM,American Samoa*,16,2015,23513,55806,42.13346235171846,~,16,1961,NA,0.035139590725011646
ASM,American Samoa*,16,2020,23608,55197,42.77044042248673,~,16,1832,NA,0.033190209612841276
COK,Cook Islands*,184,1990,2587,18195,14.21819181093707,~,184,17485,NA,0.960978290739214
COK,Cook Islands*,184,1995,2686,19105,14.059146820204136,~,184,17009,NA,0.8902904998691442
COK,Cook Islands*,184,2000,2785,17935,15.528296626707554,~,184,19478,NA,1.0860328965709507
COK,Cook Islands*,184,2005,3277,19070,17.184058730991087,~,184,19580,NA,1.02674357629785
COK,Cook Islands*,184,2010,3769,18392,20.492605480643757,~,184,20556,NA,1.1176598521096128
COK,Cook Islands*,184,2015,4168,17581,23.707411410044934,~,184,21555,NA,1.2260394744326262
COK,Cook Islands*,184,2020,4579,17564,26.070371213846506,~,184,21106,NA,1.2016624914598042
PYF,French Polynesia*,258,1990,25830,199906,12.921072904265005,~,258,3132,NA,0.015667363660920634
PYF,French Polynesia*,258,1995,28360,218064,13.005356225695209,~,258,3738,NA,0.01714175654853621
PYF,French Polynesia*,258,2000,30329,240681,12.601327067778511,~,258,4300,NA,0.01786597197119839
PYF,French Polynesia*,258,2005,32286,258779.99999999997,12.476234639462094,~,258,2717,NA,0.0104992657856094
PYF,French Polynesia*,258,2010,31640,266449,11.87469271793101,~,258,1550,NA,0.005817248328948504
PYF,French Polynesia*,258,2015,30058,273119,11.005459158828202,~,258,1978,NA,0.007242264360956213
PYF,French Polynesia*,258,2020,30081,280904,10.708640674394099,~,258,2157,NA,0.007678779939053912
NIU,Niue*,570,1990,461,2332,19.76843910806175,~,570,5858,NA,2.512006861063465
NIU,Niue*,570,1995,480,2161,22.211938917167977,~,570,5571,NA,2.5779731605738085
NIU,Niue*,570,2000,498,1902,26.18296529968454,~,570,5749,NA,3.02260778128286
NIU,Niue*,570,2005,522,1688,30.924170616113745,~,570,5291,NA,3.134478672985782
NIU,Niue*,570,2010,589,1622,36.31319358816276,~,570,5347,NA,3.2965474722564734
NIU,Niue*,570,2015,588,1610,36.52173913043478,~,570,5348,NA,3.3217391304347825
NIU,Niue*,570,2020,588,1618,36.341161928306555,~,570,5186,NA,3.2051915945611866
WSM,Samoa,882,1990,3357,162797,2.0620773110069592,~,882,74861,NA,0.4598426260926184
WSM,Samoa,882,1995,4694,170050,2.7603645986474565,~,882,81952,NA,0.4819288444575125
WSM,Samoa,882,2000,5998,174454,3.4381556169534666,~,882,94541,NA,0.5419250920013299
WSM,Samoa,882,2005,5746,179722,3.1971600583122823,~,882,99230,NA,0.5521305126806958
WSM,Samoa,882,2010,5122,185944,2.7545927806221226,~,882,104820,NA,0.5637181086778815
WSM,Samoa,882,2015,4255,193510,2.198852772466539,~,882,116855,NA,0.6038706010025322
WSM,Samoa,882,2020,4021,198410,2.026611561917242,~,882,135732,NA,0.6840985837407388
TKL,Tokelau*,772,1990,360,1604,22.443890274314214,~,772,1684,NA,1.0498753117206983
TKL,Tokelau*,772,1995,506,1507,33.57664233576642,~,772,1810,NA,1.201061712010617
TKL,Tokelau*,772,2000,712,1550,45.935483870967744,~,772,2061,NA,1.3296774193548386
TKL,Tokelau*,772,2005,1003,1213,82.68755152514427,~,772,2090,NA,1.7230008244023083
TKL,Tokelau*,772,2010,1128,1129,99.91142604074402,~,772,2168,NA,1.920283436669619
TKL,Tokelau*,772,2015,1185,1247,95.02806736166801,~,772,2171,NA,1.7409783480352847
