name,country_code,year,pop,alpha3
Zambia,894,2005,11856.244,ZMB
Zambia,894,2010,13605.986,ZMB
Zambia,894,2015,15879.37,ZMB
Zambia,894,2020,18383.956,ZMB
Zimbabwe,716,1990,10432.409,ZWE
Zimbabwe,716,1995,11410.721,ZWE
Zimbabwe,716,2000,11881.482,ZWE
Zimbabwe,716,2005,12076.697,ZWE
Zimbabwe,716,2010,12697.728,ZWE
Zimbabwe,716,2015,13814.642,ZWE
Zimbabwe,716,2020,14862.927,ZWE
Middle Africa,911,1990,70855.116,NA
Middle Africa,911,1995,83775.179,NA
Middle Africa,911,2000,96115.549,NA
Middle Africa,911,2005,112008.24,NA
Middle Africa,911,2010,131622.131,NA
Middle Africa,911,2015,154203.227,NA
Middle Africa,911,2020,179595.125,NA
Angola,24,1990,11848.385,AGO
Angola,24,1995,13945.205,AGO
Angola,24,2000,16395.477,AGO
Angola,24,2005,19433.604,AGO
Angola,24,2010,23356.247,AGO
Angola,24,2015,27884.38,AGO
Angola,24,2020,32866.268,AGO
Cameroon,120,1990,11780.086,CMR
Cameroon,120,1995,13599.984,CMR
Cameroon,120,2000,15513.944,CMR
Cameroon,120,2005,17733.408,CMR
Cameroon,120,2010,20341.236,CMR
Cameroon,120,2015,23298.376,CMR
Cameroon,120,2020,26545.864,CMR
Central African Republic,140,1990,2806.74,CAF
Central African Republic,140,1995,3222.662,CAF
Central African Republic,140,2000,3640.421,CAF
Central African Republic,140,2005,4038.38,CAF
Central African Republic,140,2010,4386.765,CAF
Central African Republic,140,2015,4493.171,CAF
Central African Republic,140,2020,4829.764,CAF
Chad,148,1990,5963.25,TCD
Chad,148,1995,7010.159,TCD
Chad,148,2000,8355.654,TCD
Chad,148,2005,10096.63,TCD
Chad,148,2010,11952.134,TCD
Chad,148,2015,14110.971,TCD
Chad,148,2020,16425.859,TCD
Congo,178,1990,2356.74,COG
Congo,178,1995,2707.532,COG
Congo,178,2000,3127.42,COG
Congo,178,2005,3622.775,COG
Congo,178,2010,4273.738,COG
Congo,178,2015,4856.093,COG
Congo,178,2020,5518.092,COG
Democratic Republic of the Congo,180,1990,34612.023,COD
Democratic Republic of the Congo,180,1995,41576.239,COD
Democratic Republic of the Congo,180,2000,47105.83,COD
Democratic Republic of the Congo,180,2005,54785.894,COD
Democratic Republic of the Congo,180,2010,64563.853,COD
Democratic Republic of the Congo,180,2015,76244.532,COD
Democratic Republic of the Congo,180,2020,89561.404,COD
Equatorial Guinea,226,1990,419.188,GNQ
Equatorial Guinea,226,1995,496.768,GNQ
Equatorial Guinea,226,2000,606.18,GNQ
Equatorial Guinea,226,2005,749.527,GNQ
Equatorial Guinea,226,2010,943.64,GNQ
Equatorial Guinea,226,2015,1168.575,GNQ
Equatorial Guinea,226,2020,1402.985,GNQ
Gabon,266,1990,949.493,GAB
Gabon,266,1995,1084.951,GAB
Gabon,266,2000,1228.359,GAB
Gabon,266,2005,1390.55,GAB
Gabon,266,2010,1624.146,GAB
Gabon,266,2015,1947.69,GAB
Gabon,266,2020,2225.728,GAB
Sao Tome and Principe,678,1990,119.211,STP
Sao Tome and Principe,678,1995,131.679,STP
Sao Tome and Principe,678,2000,142.264,STP
Sao Tome and Principe,678,2005,157.472,STP
Sao Tome and Principe,678,2010,180.372,STP
Sao Tome and Principe,678,2015,199.439,STP
Sao Tome and Principe,678,2020,219.161,STP
Northern Africa,912,1990,139744.833,NA
Northern Africa,912,1995,156510.64,NA
Northern Africa,912,2000,171322.846,NA
Northern Africa,912,2005,186421.282,NA
Northern Africa,912,2010,202940.273,NA
Northern Africa,912,2015,223861.602,NA
Northern Africa,912,2020,246232.508,NA
Algeria,12,1990,25758.872,DZA
Algeria,12,1995,28757.788,DZA
Algeria,12,2000,31042.238,DZA
Algeria,12,2005,33149.72,DZA
Algeria,12,2010,35977.451,DZA
Algeria,12,2015,39728.02,DZA
Algeria,12,2020,43851.043,DZA
Egypt,818,1990,56134.478,EGY
Egypt,818,1995,62334.025,EGY
Egypt,818,2000,68831.561,EGY
Egypt,818,2005,75523.576,EGY
Egypt,818,2010,82761.244,EGY
Egypt,818,2015,92442.549,EGY
Egypt,818,2020,102334.403,EGY
Libya,434,1990,4436.663,LBY
Libya,434,1995,4948.796,LBY
Libya,434,2000,5357.893,LBY
Libya,434,2005,5798.615,LBY
Libya,434,2010,6197.667,LBY
Libya,434,2015,6418.315,LBY
Libya,434,2020,6871.287,LBY
Morocco,504,1990,24807.461,MAR
Morocco,504,1995,26994.255,MAR
Morocco,504,2000,28793.672,MAR
Morocco,504,2005,30455.563,MAR
Morocco,504,2010,32343.384,MAR
Morocco,504,2015,34663.608,MAR
Morocco,504,2020,36910.558,MAR
Sudan,729,1990,20147.592,SDN
Sudan,729,1995,24094.741,SDN
Sudan,729,2000,27275.019,SDN
Sudan,729,2005,30949.514,SDN
Sudan,729,2010,34545.014,SDN
Sudan,729,2015,38902.948,SDN
Sudan,729,2020,43849.269,SDN
Tunisia,788,1990,8242.509,TUN
Tunisia,788,1995,9125.4,TUN
Tunisia,788,2000,9708.347,TUN
Tunisia,788,2005,10106.778,TUN
Tunisia,788,2010,10635.245,TUN
Tunisia,788,2015,11179.951,TUN
Tunisia,788,2020,11818.618,TUN
Western Sahara,732,1990,217.258,ESH
Western Sahara,732,1995,255.635,ESH
Western Sahara,732,2000,314.116,ESH
Western Sahara,732,2005,437.516,ESH
Western Sahara,732,2010,480.268,ESH
Western Sahara,732,2015,526.211,ESH
Western Sahara,732,2020,597.33,ESH
Southern Africa,913,1990,42046.342,NA
Southern Africa,913,1995,47358.234,NA
Southern Africa,913,2000,51443.866,NA
Southern Africa,913,2005,54644.678,NA
Southern Africa,913,2010,58383.366,NA
Southern Africa,913,2015,62985.035,NA
Southern Africa,913,2020,67503.647,NA
Botswana,72,1990,1286.756,BWA
Botswana,72,1995,1469.173,BWA
Botswana,72,2000,1643.333,BWA
Botswana,72,2005,1799.077,BWA
Botswana,72,2010,1987.106,BWA
Botswana,72,2015,2120.716,BWA
Botswana,72,2020,2351.625,BWA
Eswatini,748,1990,822.423,SWZ
Eswatini,748,1995,926.836,SWZ
Eswatini,748,2000,1005.432,SWZ
Eswatini,748,2005,1030.575,SWZ
Eswatini,748,2010,1064.841,SWZ
Eswatini,748,2015,1104.038,SWZ
Eswatini,748,2020,1160.164,SWZ
Lesotho,426,1990,1703.757,LSO
Lesotho,426,1995,1898.598,LSO
Lesotho,426,2000,2032.805,LSO
Lesotho,426,2005,1996.115,LSO
Lesotho,426,2010,1995.575,LSO
Lesotho,426,2015,2059.011,LSO
Lesotho,426,2020,2142.252,LSO
Namibia,516,1990,1432.899,NAM
Namibia,516,1995,1627.866,NAM
Namibia,516,2000,1794.583,NAM
Namibia,516,2005,1938.316,NAM
Namibia,516,2010,2118.877,NAM
Namibia,516,2015,2314.901,NAM
Namibia,516,2020,2540.916,NAM
South Africa,710,1990,36800.507,ZAF
South Africa,710,1995,41435.761,ZAF
South Africa,710,2000,44967.713,ZAF
South Africa,710,2005,47880.595,ZAF
South Africa,710,2010,51216.967,ZAF
South Africa,710,2015,55386.369,ZAF
South Africa,710,2020,59308.69,ZAF
Western Africa,914,1990,180535.022,NA
Western Africa,914,1995,205691.815,NA
Western Africa,914,2000,234748.62,NA
Western Africa,914,2005,267894.672,NA
Western Africa,914,2010,307040.41,NA
Western Africa,914,2015,351717.644,NA
Western Africa,914,2020,401861.255,NA
Benin,204,1990,4978.489,BEN
Benin,204,1995,5905.552,BEN
Benin,204,2000,6865.946,BEN
Benin,204,2005,7982.223,BEN
Benin,204,2010,9199.254,BEN
Benin,204,2015,10575.962,BEN
Benin,204,2020,12123.198,BEN
Burkina Faso,854,1990,8811.033,BFA
Burkina Faso,854,1995,10089.88,BFA
Burkina Faso,854,2000,11607.951,BFA
Burkina Faso,854,2005,13421.935,BFA
Burkina Faso,854,2010,15605.211,BFA
Burkina Faso,854,2015,18110.616,BFA
Burkina Faso,854,2020,20903.278,BFA
Cabo Verde,132,1990,337.953,CPV
Cabo Verde,132,1995,386.288,CPV
Cabo Verde,132,2000,428.178,CPV
Cabo Verde,132,2005,463.034,CPV
Cabo Verde,132,2010,492.644,CPV
Cabo Verde,132,2015,524.74,CPV
Cabo Verde,132,2020,555.988,CPV
Côte d'Ivoire,384,1990,11924.873,CIV
Côte d'Ivoire,384,1995,14199.759,CIV
Côte d'Ivoire,384,2000,16454.66,CIV
Côte d'Ivoire,384,2005,18354.513,CIV
Côte d'Ivoire,384,2010,20532.944,CIV
Côte d'Ivoire,384,2015,23226.148,CIV
Côte d'Ivoire,384,2020,26378.275,CIV
Gambia,270,1990,955.595,GMB
Gambia,270,1995,1128.577,GMB
Gambia,270,2000,1317.708,GMB
Gambia,270,2005,1543.745,GMB
Gambia,270,2010,1793.199,GMB
Gambia,270,2015,2085.86,GMB
Gambia,270,2020,2416.664,GMB
Ghana,288,1990,14773.274,GHA
Ghana,288,1995,17014.058,GHA
Ghana,288,2000,19278.85,GHA
Ghana,288,2005,21814.648,GHA
Ghana,288,2010,24779.614,GHA
Ghana,288,2015,27849.203,GHA
Ghana,288,2020,31072.945,GHA
Guinea,324,1990,6352.282,GIN
Guinea,324,1995,7269.631,GIN
Guinea,324,2000,8240.735,GIN
Guinea,324,2005,9109.585,GIN
Guinea,324,2010,10192.168,GIN
Guinea,324,2015,11432.096,GIN
Guinea,324,2020,13132.792,GIN
Guinea-Bissau,624,1990,975.265,GNB
Guinea-Bissau,624,1995,1088.85,GNB
Guinea-Bissau,624,2000,1201.305,GNB
Guinea-Bissau,624,2005,1344.931,GNB
Guinea-Bissau,624,2010,1522.603,GNB
Guinea-Bissau,624,2015,1737.207,GNB
Guinea-Bissau,624,2020,1967.998,GNB
Liberia,430,1990,2075.917,LBR
Liberia,430,1995,2044.657,LBR
Liberia,430,2000,2848.447,LBR
Liberia,430,2005,3218.114,LBR
Liberia,430,2010,3891.357,LBR
Liberia,430,2015,4472.229,LBR
Liberia,430,2020,5057.677,LBR
Mali,466,1990,8449.915,MLI
Mali,466,1995,9585.66,MLI
Mali,466,2000,10946.448,MLI
Mali,466,2005,12775.509,MLI
Mali,466,2010,15049.352,MLI
Mali,466,2015,17438.772,MLI
Mali,466,2020,20250.834,MLI
Mauritania,478,1990,2034.347,MRT
Mauritania,478,1995,2313.63,MRT
Mauritania,478,2000,2630.217,MRT
Mauritania,478,2005,3024.198,MRT
Mauritania,478,2010,3494.2,MRT
Mauritania,478,2015,4046.304,MRT
Mauritania,478,2020,4649.66,MRT
Niger,562,1990,8026.592,NER
Niger,562,1995,9490.289,NER
Niger,562,2000,11331.561,NER
Niger,562,2005,13624.474,NER
Niger,562,2010,16464.025,NER
Niger,562,2015,20001.663,NER
Niger,562,2020,24206.636,NER
Nigeria,566,1990,95212.454,NGA
Nigeria,566,1995,107948.339,NGA
Nigeria,566,2000,122283.853,NGA
Nigeria,566,2005,138865.014,NGA
Nigeria,566,2010,158503.203,NGA
Nigeria,566,2015,181137.454,NGA
Nigeria,566,2020,206139.587,NGA
Saint Helena*,654,1990,6.654,SHN
Saint Helena*,654,1995,6.244,SHN
Saint Helena*,654,2000,6.054,SHN
Saint Helena*,654,2005,5.354,SHN
Saint Helena*,654,2010,5.183,SHN
Saint Helena*,654,2015,5.869,SHN
Saint Helena*,654,2020,6.071,SHN
Senegal,686,1990,7526.306,SEN
Senegal,686,1995,8690.155,SEN
Senegal,686,2000,9797.731,SEN
Senegal,686,2005,11090.123,SEN
Senegal,686,2010,12678.143,SEN
Senegal,686,2015,14578.45,SEN
Senegal,686,2020,16743.93,SEN
Sierra Leone,694,1990,4319.763,SLE
Sierra Leone,694,1995,4303.953,SLE
Sierra Leone,694,2000,4584.57,SLE
Sierra Leone,694,2005,5645.629,SLE
Sierra Leone,694,2010,6415.636,SLE
Sierra Leone,694,2015,7171.909,SLE
Sierra Leone,694,2020,7976.985,SLE
Togo,768,1990,3774.31,TGO
Togo,768,1995,4226.293,TGO
Togo,768,2000,4924.406,TGO
Togo,768,2005,5611.643,TGO
Togo,768,2010,6421.674,TGO
Togo,768,2015,7323.162,TGO
Togo,768,2020,8278.737,TGO
ASIA,935,1990,3226098.922,NA
ASIA,935,1995,3493086.998,NA
ASIA,935,2000,3741263.352,NA
ASIA,935,2005,3977986.452,NA
ASIA,935,2010,4209593.724,NA
ASIA,935,2015,4433475.322,NA
ASIA,935,2020,4641054.786,NA
Central Asia,5500,1990,50122.902,NA
Central Asia,5500,1995,53169.133,NA
Central Asia,5500,2000,55345.848,NA
Central Asia,5500,2005,58449.898,NA
Central Asia,5500,2010,62805.087,NA
Central Asia,5500,2015,68479.994,NA
Central Asia,5500,2020,74338.926,NA
Kazakhstan,398,1990,16383.881,KAZ
Kazakhstan,398,1995,15839.357,KAZ
Kazakhstan,398,2000,14922.724,KAZ
Kazakhstan,398,2005,15402.803,KAZ
Kazakhstan,398,2010,16252.273,KAZ
Kazakhstan,398,2015,17572.01,KAZ
Kazakhstan,398,2020,18776.707,KAZ
Kyrgyzstan,417,1990,4372.885,KGZ
Kyrgyzstan,417,1995,4566.096,KGZ
Kyrgyzstan,417,2000,4920.712,KGZ
Kyrgyzstan,417,2005,5075.34,KGZ
Kyrgyzstan,417,2010,5422.298,KGZ
Kyrgyzstan,417,2015,5959.126,KGZ
Kyrgyzstan,417,2020,6524.191,KGZ
Tajikistan,762,1990,5283.811,TJK
Tajikistan,762,1995,5764.806,TJK
Tajikistan,762,2000,6216.329,TJK
Tajikistan,762,2005,6789.318,TJK
Tajikistan,762,2010,7527.397,TJK
Tajikistan,762,2015,8454.019,TJK
Tajikistan,762,2020,9537.642,TJK
Turkmenistan,795,1990,3683.978,TKM
Turkmenistan,795,1995,4207.841,TKM
Turkmenistan,795,2000,4516.128,TKM
Turkmenistan,795,2005,4754.652,TKM
Turkmenistan,795,2010,5087.211,TKM
Turkmenistan,795,2015,5565.283,TKM
Turkmenistan,795,2020,6031.187,TKM
Uzbekistan,860,1990,20398.347,UZB
Uzbekistan,860,1995,22791.033,UZB
Uzbekistan,860,2000,24769.955,UZB
Uzbekistan,860,2005,26427.785,UZB
Uzbekistan,860,2010,28515.908,UZB
Uzbekistan,860,2015,30929.556,UZB
Uzbekistan,860,2020,33469.199,UZB
Eastern Asia,906,1990,1393334.81,NA
Eastern Asia,906,1995,1464564.639,NA
Eastern Asia,906,2000,1519781.295,NA
Eastern Asia,906,2005,1564192.321,NA
Eastern Asia,906,2010,1604859.428,NA
Eastern Asia,906,2015,1645183.917,NA
Eastern Asia,906,2020,1678089.627,NA
China*,156,1990,1176883.681,CHN
China*,156,1995,1240920.539,CHN
China*,156,2000,1290550.767,CHN
China*,156,2005,1330776.38,CHN
China*,156,2010,1368810.604,CHN
China*,156,2015,1406847.868,CHN
