year,orig,dest,refugees,asylum_seekers
1995,AFG,AFG,0,0
1996,AFG,AFG,0,0
1997,AFG,AFG,0,0
1998,AFG,AFG,0,0
1999,AFG,AFG,0,0
2000,AFG,AFG,0,0
2001,AFG,AFG,0,0
2002,AFG,AFG,0,0
2003,AFG,AFG,0,0
2004,AFG,AFG,0,0
2005,AFG,AFG,0,0
2006,AFG,AFG,0,0
2007,AFG,AFG,0,0
2008,AFG,AFG,0,0
2009,AFG,AFG,0,0
2010,AFG,AFG,0,0
2011,AFG,AFG,0,0
2012,AFG,AFG,0,0
2013,AFG,AFG,0,0
2014,AFG,AFG,0,0
2015,AFG,AFG,0,0
2016,AFG,AFG,0,0
2017,AFG,AFG,0,0
2018,AFG,AFG,0,0
2020,AFG,AFG,0,0
2020,BEN,AFG,0,5
2018,BGD,AFG,0,5
2003,CHN,AFG,0,5
1995,IRN,AFG,5,0
1996,IRN,AFG,5,0
2001,IRN,AFG,5,0
2002,IRN,AFG,0,12
2003,IRN,AFG,19,41
2004,IRN,AFG,26,28
2005,IRN,AFG,31,5
2006,IRN,AFG,34,5
2007,IRN,AFG,38,0
2008,IRN,AFG,30,5
2009,IRN,AFG,30,10
2010,IRN,AFG,30,21
2011,IRN,AFG,34,25
2012,IRN,AFG,37,12
2013,IRN,AFG,36,16
2014,IRN,AFG,36,21
2015,IRN,AFG,30,20
2016,IRN,AFG,33,16
2017,IRN,AFG,34,5
2018,IRN,AFG,34,10
2020,IRN,AFG,36,25
1996,IRQ,AFG,5,0
1997,IRQ,AFG,5,0
2001,IRQ,AFG,5,0
2002,IRQ,AFG,0,5
2003,IRQ,AFG,5,25
2004,IRQ,AFG,5,0
2007,IRQ,AFG,5,0
2008,IRQ,AFG,7,0
2009,IRQ,AFG,6,0
2010,IRQ,AFG,6,0
2011,IRQ,AFG,5,0
2005,PAK,AFG,0,5
2008,PAK,AFG,0,5
2009,PAK,AFG,0,5
2010,PAK,AFG,6398,10
2011,PAK,AFG,2972,27
2012,PAK,AFG,16147,37
2013,PAK,AFG,16825,45
2014,PAK,AFG,300385,35
2015,PAK,AFG,257523,51
2016,PAK,AFG,59737,99
2017,PAK,AFG,75893,101
2018,PAK,AFG,72194,121
2020,PAK,AFG,72191,138
1995,TJK,AFG,19600,0
1996,TJK,AFG,18769,0
2014,TJK,AFG,0,5
2015,TJK,AFG,0,5
2016,TJK,AFG,0,10
2017,TJK,AFG,0,5
2018,TJK,AFG,0,5
2017,TUR,AFG,0,102
2018,TUR,AFG,0,139
2020,TUR,AFG,0,79
2018,DZA,ALB,0,16
2020,DZA,ALB,0,0
2010,EGY,ALB,5,0
2011,EGY,ALB,5,0
2013,EGY,ALB,5,0
2014,EGY,ALB,5,0
2015,EGY,ALB,5,0
2016,EGY,ALB,5,0
2017,EGY,ALB,5,0
2018,EGY,ALB,5,0
2020,EGY,ALB,5,0
2014,AZE,ALB,0,5
1995,BIH,ALB,45,0
1996,BIH,ALB,45,0
1995,CHN,ALB,150,0
1996,CHN,ALB,150,0
2006,CHN,ALB,5,0
2007,CHN,ALB,5,0
2008,CHN,ALB,5,0
2009,CHN,ALB,6,0
2010,CHN,ALB,6,0
2011,CHN,ALB,9,0
2012,CHN,ALB,10,0
2013,CHN,ALB,12,0
2014,CHN,ALB,12,0
2015,CHN,ALB,11,0
2016,CHN,ALB,11,0
2017,CHN,ALB,12,0
2018,CHN,ALB,12,0
2020,CHN,ALB,12,0
2012,COD,ALB,0,5
2013,COD,ALB,5,0
2014,COD,ALB,5,0
2015,COD,ALB,0,5
2016,COD,ALB,5,0
2017,COD,ALB,5,0
2018,COD,ALB,5,0
2009,PSE,ALB,5,0
2010,PSE,ALB,5,0
2011,PSE,ALB,5,0
2012,PSE,ALB,5,0
2013,PSE,ALB,5,0
2014,PSE,ALB,5,0
2015,PSE,ALB,5,0
2016,PSE,ALB,5,0
2017,PSE,ALB,5,0
2018,PSE,ALB,14,10
2020,PSE,ALB,7,5
1999,HRV,ALB,5,0
2005,IND,ALB,0,5
2013,IRN,ALB,0,196
2014,IRN,ALB,0,456
2015,IRN,ALB,9,813
2016,IRN,ALB,17,2745
2017,IRN,ALB,12,5
2018,IRN,ALB,12,5
1995,IRQ,ALB,203,0
1996,IRQ,ALB,203,0
1997,IRQ,ALB,5,0
1998,IRQ,ALB,5,0
1999,IRQ,ALB,9,0
2000,IRQ,ALB,9,0
2001,IRQ,ALB,7,0
2002,IRQ,ALB,5,5
2003,IRQ,ALB,7,0
2004,IRQ,ALB,9,0
2005,IRQ,ALB,7,0
2006,IRQ,ALB,5,0
2007,IRQ,ALB,5,0
2008,IRQ,ALB,5,0
2009,IRQ,ALB,5,0
2010,IRQ,ALB,5,0
2011,IRQ,ALB,5,0
2012,IRQ,ALB,5,0
2013,IRQ,ALB,5,0
2014,IRQ,ALB,5,0
2015,IRQ,ALB,5,0
2016,IRQ,ALB,23,0
2017,IRQ,ALB,5,0
2018,IRQ,ALB,5,25
2020,IRQ,ALB,8,0
2018,LBY,ALB,0,28
1995,LKA,ALB,50,0
1996,LKA,ALB,50,0
1995,MKD,ALB,100,0
1996,MKD,ALB,100,0
2001,MKD,ALB,6,29
2003,MKD,ALB,0,10
2004,MKD,ALB,0,5
2005,MKD,ALB,0,5
2006,MKD,ALB,0,10
2018,MAR,ALB,0,28
2020,MAR,ALB,0,0
1995,SRB,ALB,4018,0
1996,SRB,ALB,4024,0
1997,SRB,ALB,24,0
1998,SRB,ALB,22324,0
1999,SRB,ALB,3918,0
2000,SRB,ALB,507,5
2001,SRB,ALB,278,5
2002,SRB,ALB,6,30
2003,SRB,ALB,10,76
2004,SRB,ALB,33,23
2005,SRB,ALB,40,22
2006,SRB,ALB,40,19
2007,SRB,ALB,51,16
2008,SRB,ALB,47,20
2009,SRB,ALB,48,19
2010,SRB,ALB,49,20
2011,SRB,ALB,50,21
2012,SRB,ALB,54,18
2013,SRB,ALB,54,17
2014,SRB,ALB,64,13
2015,SRB,ALB,59,12
2016,SRB,ALB,60,5
2017,SRB,ALB,60,5
2018,SRB,ALB,58,5
2020,SRB,ALB,65,0
2011,SOM,ALB,0,5
1995,SYR,ALB,5,0
1996,SYR,ALB,5,0
1997,SYR,ALB,5,0
1998,SYR,ALB,5,0
2012,SYR,ALB,0,5
2013,SYR,ALB,0,15
2014,SYR,ALB,5,10
2015,SYR,ALB,5,0
2016,SYR,ALB,5,0
2017,SYR,ALB,5,22
2018,SYR,ALB,6,44
2020,SYR,ALB,13,0
1995,TUR,ALB,150,0
1996,TUR,ALB,150,0
2000,TUR,ALB,5,0
2001,TUR,ALB,0,37
2002,TUR,ALB,7,11
2003,TUR,ALB,7,0
2004,TUR,ALB,7,0
2005,TUR,ALB,6,0
2006,TUR,ALB,6,0
2007,TUR,ALB,7,0
2009,TUR,ALB,5,0
2010,TUR,ALB,5,0
2011,TUR,ALB,5,0
2012,TUR,ALB,5,0
2013,TUR,ALB,5,0
2014,TUR,ALB,5,0
2015,TUR,ALB,5,0
2016,TUR,ALB,5,0
2017,TUR,ALB,5,0
2018,TUR,ALB,5,0
2020,TUR,ALB,0,0
2012,UZB,ALB,5,0
2013,UZB,ALB,5,0
2014,UZB,ALB,5,0
2015,UZB,ALB,5,0
2016,UZB,ALB,5,0
2017,UZB,ALB,5,0
2018,UZB,ALB,5,0
2020,UZB,ALB,5,0
2017,VEN,ALB,5,0
2018,VEN,ALB,5,0
2020,VEN,ALB,5,0
2012,XXA,ALB,0,0
2013,XXA,ALB,0,0
2014,XXA,ALB,0,0
2015,XXA,ALB,0,0
2016,XXA,ALB,0,0
2017,XXA,ALB,0,0
2018,XXA,ALB,0,0
2020,XXA,ALB,0,0
1996,,ALB,200,0
2011,AFG,DZA,0,5
2009,AGO,DZA,5,0
2010,AGO,DZA,5,0
2011,AGO,DZA,5,0
2012,AGO,DZA,5,0
2013,AGO,DZA,5,0
2012,BDI,DZA,0,5
2013,BDI,DZA,0,5
2010,BEN,DZA,0,5
2011,BEN,DZA,0,5
2012,BEN,DZA,0,16
2018,BEN,DZA,5,5
2020,BEN,DZA,0,15
2012,BFA,DZA,0,5
2014,BFA,DZA,0,5
2015,BFA,DZA,0,5
2016,BFA,DZA,0,5
2018,BFA,DZA,0,5
2020,BFA,DZA,0,13
2006,CAF,DZA,0,10
2007,CAF,DZA,0,24
2008,CAF,DZA,0,5
2011,CAF,DZA,0,5
2012,CAF,DZA,0,5
2014,CAF,DZA,0,51
2015,CAF,DZA,20,23
2016,CAF,DZA,47,23
2017,CAF,DZA,43,27
2018,CAF,DZA,49,33
2020,CAF,DZA,67,29
2000,TCD,DZA,20,19
2001,TCD,DZA,6,5
2005,TCD,DZA,0,12
2006,TCD,DZA,0,35
2007,TCD,DZA,0,93
2008,TCD,DZA,0,64
2010,TCD,DZA,0,10
2011,TCD,DZA,0,28
2012,TCD,DZA,0,20
2013,TCD,DZA,0,5
2014,TCD,DZA,0,5
2017,TCD,DZA,0,5
2018,TCD,DZA,6,11
2020,TCD,DZA,0,18
2000,CMR,DZA,5,0
2001,CMR,DZA,8,0
2002,CMR,DZA,6,0
2003,CMR,DZA,5,0
2004,CMR,DZA,5,0
2005,CMR,DZA,7,10
2006,CMR,DZA,9,138
2007,CMR,DZA,10,315
2008,CMR,DZA,5,207
2009,CMR,DZA,6,21
2010,CMR,DZA,6,92
2011,CMR,DZA,7,301
2012,CMR,DZA,6,681
2013,CMR,DZA,10,58
2014,CMR,DZA,9,23
2015,CMR,DZA,10,23
2016,CMR,DZA,14,20
2017,CMR,DZA,16,31
2018,CMR,DZA,35,161
2020,CMR,DZA,72,285
2000,COG,DZA,30,29
2001,COG,DZA,20,27
2004,COG,DZA,5,0
2005,COG,DZA,5,5
2006,COG,DZA,5,19
2007,COG,DZA,5,15
2008,COG,DZA,5,13
2009,COG,DZA,6,5
2010,COG,DZA,6,5
2011,COG,DZA,7,5
2012,COG,DZA,7,5
2013,COG,DZA,7,0
2014,COG,DZA,5,0
2015,COG,DZA,0,5
2016,COG,DZA,0,5
2017,COG,DZA,0,5
2020,COG,DZA,0,5
2000,COD,DZA,202,159
2001,COD,DZA,103,58
2004,COD,DZA,5,0
2005,COD,DZA,34,183
2006,COD,DZA,90,286
2007,COD,DZA,39,291
2008,COD,DZA,64,143
2009,COD,DZA,73,18
2010,COD,DZA,66,26
2011,COD,DZA,61,27
2012,COD,DZA,39,67
2013,COD,DZA,43,30
2014,COD,DZA,40,36
2015,COD,DZA,42,22
2016,COD,DZA,40,36
2017,COD,DZA,47,76
2018,COD,DZA,59,79
2020,COD,DZA,59,104
2020,ERI,DZA,0,5
2000,PSE,DZA,4000,0
2001,PSE,DZA,4005,0
2002,PSE,DZA,4005,0
2003,PSE,DZA,4005,0
2004,PSE,DZA,4005,0
2005,PSE,DZA,4005,0
2006,PSE,DZA,4005,5
2007,PSE,DZA,4005,5
2008,PSE,DZA,4005,5
2009,PSE,DZA,4006,0
2010,PSE,DZA,4007,11
2011,PSE,DZA,4017,20
2012,PSE,DZA,4020,45
2013,PSE,DZA,4017,176
2014,PSE,DZA,4016,374
2015,PSE,DZA,4016,86
2016,PSE,DZA,4015,39
2017,PSE,DZA,4014,85
2018,PSE,DZA,4013,128
2020,PSE,DZA,173,0
2018,GHA,DZA,0,5
2020,GHA,DZA,0,5
2000,GIN,DZA,35,35
2001,GIN,DZA,9,10
2007,GIN,DZA,0,10
2008,GIN,DZA,0,5
2009,GIN,DZA,0,5
2010,GIN,DZA,0,17
2011,GIN,DZA,0,10
2012,GIN,DZA,5,60
2014,GIN,DZA,0,12
2015,GIN,DZA,0,27
2016,GIN,DZA,0,11
2017,GIN,DZA,5,24
2018,GIN,DZA,13,224
2020,GIN,DZA,28,227
2004,CIV,DZA,5,0
2005,CIV,DZA,8,33
2006,CIV,DZA,23,329
2007,CIV,DZA,16,454
2008,CIV,DZA,5,221
2009,CIV,DZA,17,13
2010,CIV,DZA,20,47
2011,CIV,DZA,17,207
2012,CIV,DZA,23,281
2013,CIV,DZA,30,85
2014,CIV,DZA,23,54
2015,CIV,DZA,23,19
2016,CIV,DZA,36,21
2017,CIV,DZA,39,51
2018,CIV,DZA,40,152
2020,CIV,DZA,63,162
2000,IRQ,DZA,5,0
2001,IRQ,DZA,9,0
2002,IRQ,DZA,6,0
2003,IRQ,DZA,6,0
2004,IRQ,DZA,6,0
2005,IRQ,DZA,5,0
2006,IRQ,DZA,5,5
2007,IRQ,DZA,7,31
2008,IRQ,DZA,0,10
2009,IRQ,DZA,5,5
2010,IRQ,DZA,15,5
2011,IRQ,DZA,15,5
2012,IRQ,DZA,15,5
2013,IRQ,DZA,15,5
2014,IRQ,DZA,16,10
2015,IRQ,DZA,21,5
2016,IRQ,DZA,13,5
2017,IRQ,DZA,13,5
2018,IRQ,DZA,13,0
2020,IRQ,DZA,12,5
2000,LBR,DZA,13,0
2001,LBR,DZA,7,0
2004,LBR,DZA,6,0
2005,LBR,DZA,24,52
2006,LBR,DZA,28,77
2007,LBR,DZA,39,230
2008,LBR,DZA,5,155
2009,LBR,DZA,7,41
2010,LBR,DZA,5,22
2011,LBR,DZA,5,11
2012,LBR,DZA,0,14
2014,LBR,DZA,0,5
2018,LBR,DZA,0,14
2020,LBR,DZA,0,36
2000,LBY,DZA,6,0
2001,LBY,DZA,12,0
2002,LBY,DZA,6,0
2003,LBY,DZA,6,0
2004,LBY,DZA,6,0
2005,LBY,DZA,6,5
2006,LBY,DZA,6,0
2007,LBY,DZA,6,0
2009,LBY,DZA,6,0
2010,LBY,DZA,6,0
2011,LBY,DZA,6,17
2012,LBY,DZA,0,44
2013,LBY,DZA,0,25
2014,LBY,DZA,0,44
2015,LBY,DZA,13,29
2016,LBY,DZA,16,18
2017,LBY,DZA,19,10
2018,LBY,DZA,19,15
2020,LBY,DZA,19,16
2016,LBN,DZA,0,11
2017,LBN,DZA,0,5
2018,LBN,DZA,0,5
1995,MLI,DZA,17265,0
1996,MLI,DZA,15056,0
1997,MLI,DZA,3200,0
1998,MLI,DZA,146,0
1999,MLI,DZA,105,0
2000,MLI,DZA,100,0
2001,MLI,DZA,100,0
2002,MLI,DZA,100,0
2006,MLI,DZA,0,5
2007,MLI,DZA,0,5
2008,MLI,DZA,0,5
2012,MLI,DZA,0,50
2013,MLI,DZA,0,285
2014,MLI,DZA,0,107
2015,MLI,DZA,16,63
2016,MLI,DZA,29,34
2017,MLI,DZA,34,35
2018,MLI,DZA,55,177
2020,MLI,DZA,74,357
2000,MAR,DZA,5,5
2001,MAR,DZA,5,5
2006,MAR,DZA,0,5
2007,MAR,DZA,0,5
1995,NER,DZA,10181,0
1996,NER,DZA,10181,0
1997,NER,DZA,2516,0
2002,NER,DZA,100,0
2007,NER,DZA,0,66
2010,NER,DZA,0,5
2011,NER,DZA,0,10
2012,NER,DZA,0,21
2018,NER,DZA,0,25
2020,NER,DZA,5,92
2000,NGA,DZA,100,0
2001,NGA,DZA,100,0
2006,NGA,DZA,0,5
2007,NGA,DZA,0,10
2008,NGA,DZA,0,40
2009,NGA,DZA,0,42
2010,NGA,DZA,0,35
2011,NGA,DZA,0,93
2012,NGA,DZA,0,119
2013,NGA,DZA,0,19
2014,NGA,DZA,0,15
2015,NGA,DZA,0,5
2017,NGA,DZA,0,5
2018,NGA,DZA,0,119
2020,NGA,DZA,5,196
2008,ZAF,DZA,0,5
1997,RWA,DZA,11,0
2000,RWA,DZA,19,20
2001,RWA,DZA,10,0
2007,RWA,DZA,0,5
2008,SEN,DZA,0,5
2020,SEN,DZA,0,10
2000,SLE,DZA,30,30
2001,SLE,DZA,7,5
2006,SLE,DZA,0,5
2007,SLE,DZA,0,10
2008,SLE,DZA,0,5
2009,SLE,DZA,0,5
2018,SLE,DZA,0,5
2020,SLE,DZA,0,15
2000,SOM,DZA,14,12
2001,SOM,DZA,8,0
2002,SOM,DZA,5,0
2003,SOM,DZA,5,0
2004,SOM,DZA,5,0
2005,SOM,DZA,5,0
2006,SOM,DZA,5,0
2007,SOM,DZA,5,0
2008,SOM,DZA,5,0
2009,SOM,DZA,5,0
2010,SOM,DZA,5,0
2011,SOM,DZA,5,0
2012,SOM,DZA,5,0
2013,SOM,DZA,5,0
2018,SOM,DZA,0,5
2000,SDN,DZA,6,0
2007,SDN,DZA,0,5
2008,SDN,DZA,0,5
2010,SDN,DZA,0,20
2011,SDN,DZA,0,51
2012,SDN,DZA,0,33
2013,SDN,DZA,0,20
2014,SDN,DZA,0,12
2015,SDN,DZA,5,5
2016,SDN,DZA,0,5
2017,SDN,DZA,0,5
2018,SDN,DZA,5,15
2020,SDN,DZA,8,26
2000,SYR,DZA,5,0
2001,SYR,DZA,8,0
2002,SYR,DZA,5,0
2003,SYR,DZA,5,0
2004,SYR,DZA,5,0
2005,SYR,DZA,5,0
2006,SYR,DZA,5,0
2007,SYR,DZA,5,0
2011,SYR,DZA,0,5
2012,SYR,DZA,0,236
2013,SYR,DZA,0,1079
2014,SYR,DZA,0,4109
2015,SYR,DZA,0,6211
2016,SYR,DZA,0,5329
2017,SYR,DZA,8,5821
2018,SYR,DZA,14,7485
2020,SYR,DZA,7757,0
2006,TGO,DZA,0,5
2007,TGO,DZA,0,11
2008,TGO,DZA,0,5
2012,TGO,DZA,5,5
2013,TGO,DZA,5,5
2014,TGO,DZA,5,5
2015,TGO,DZA,5,0
2016,TGO,DZA,5,0
2017,TGO,DZA,5,0
2018,TGO,DZA,5,0
2020,TGO,DZA,0,15
2017,TUN,DZA,0,5
2020,TUR,DZA,0,13
1995,ESH,DZA,165000,0
1996,ESH,DZA,165000,0
1997,ESH,DZA,165000,0
1998,ESH,DZA,165000,0
1999,ESH,DZA,165000,0
2000,ESH,DZA,165000,0
2001,ESH,DZA,165000,0
2002,ESH,DZA,165000,0
2003,ESH,DZA,165000,0
2004,ESH,DZA,165000,0
2005,ESH,DZA,90000,0
2006,ESH,DZA,90000,0
2007,ESH,DZA,90000,0
2008,ESH,DZA,90000,0
2009,ESH,DZA,90000,0
2010,ESH,DZA,90000,0
2011,ESH,DZA,90000,0
2012,ESH,DZA,90000,0
2013,ESH,DZA,90000,0
2014,ESH,DZA,90000,0
2015,ESH,DZA,90000,0
2016,ESH,DZA,90000,0
2017,ESH,DZA,90000,0
2018,ESH,DZA,90000,0
2020,ESH,DZA,90000,0
2012,YEM,DZA,0,5
2013,YEM,DZA,5,0
2014,YEM,DZA,5,0
2015,YEM,DZA,5,41
2016,YEM,DZA,5,135
2017,YEM,DZA,5,155
2018,YEM,DZA,10,239
2020,YEM,DZA,257,0
1995,,DZA,43,0
1996,,DZA,30,0
1997,,DZA,9,0
1998,,DZA,80,0
1999,,DZA,144,0
2000,,DZA,59,0
2000,AGO,AGO,0,0
2001,AGO,AGO,0,0
2002,AGO,AGO,0,0
2009,AGO,AGO,0,0
2020,AGO,AGO,0,0
1996,BDI,AGO,5,0
1997,BDI,AGO,5,0
1998,BDI,AGO,5,0
1999,BDI,AGO,6,0
2000,BDI,AGO,6,0
2001,BDI,AGO,18,5
2002,BDI,AGO,18,5
2003,BDI,AGO,10,5
2004,BDI,AGO,12,0
2005,BDI,AGO,10,0
2006,BDI,AGO,10,5
2007,BDI,AGO,10,5
2008,BDI,AGO,10,5
2009,BDI,AGO,11,13
2010,BDI,AGO,14,13
2011,BDI,AGO,18,10
2012,BDI,AGO,18,45
2013,BDI,AGO,18,44
2014,BDI,AGO,8,94
2015,BDI,AGO,9,94
2016,BDI,AGO,9,94
2017,BDI,AGO,9,94
2018,BDI,AGO,18,94
2020,BDI,AGO,18,99
2003,CAF,AGO,6,0
2004,CAF,AGO,6,0
2005,CAF,AGO,6,0
2009,CAF,AGO,5,0
2010,CAF,AGO,6,0
2011,CAF,AGO,13,0
2012,CAF,AGO,13,0
2013,CAF,AGO,13,33
2014,CAF,AGO,9,76
2015,CAF,AGO,9,76
2016,CAF,AGO,9,76
2017,CAF,AGO,9,76
2018,CAF,AGO,7,76
2020,CAF,AGO,7,76
1995,TCD,AGO,5,0
1996,TCD,AGO,6,0
1997,TCD,AGO,7,0
1998,TCD,AGO,10,0
1999,TCD,AGO,19,0
2000,TCD,AGO,22,10
2001,TCD,AGO,28,11
2002,TCD,AGO,29,10
2003,TCD,AGO,62,10
2004,TCD,AGO,62,10
2005,TCD,AGO,62,10
2006,TCD,AGO,43,10
2007,TCD,AGO,43,10
2008,TCD,AGO,54,33
2009,TCD,AGO,132,77
2010,TCD,AGO,148,61
2011,TCD,AGO,191,0
2012,TCD,AGO,191,589
2013,TCD,AGO,195,295
2014,TCD,AGO,177,780
2015,TCD,AGO,184,780
2016,TCD,AGO,184,780
2017,TCD,AGO,184,780
2018,TCD,AGO,191,779
2020,TCD,AGO,190,779
1998,COG,AGO,8,0
1999,COG,AGO,33,0
2000,COG,AGO,40,235
2001,COG,AGO,51,227
2002,COG,AGO,53,228
2003,COG,AGO,35,232
2004,COG,AGO,45,221
2005,COG,AGO,46,220
2006,COG,AGO,46,222
2007,COG,AGO,46,222
2008,COG,AGO,48,222
2009,COG,AGO,43,163
2010,COG,AGO,45,163
2011,COG,AGO,65,138
2012,COG,AGO,65,138
2013,COG,AGO,65,75
2014,COG,AGO,5,58
2015,COG,AGO,5,58
2016,COG,AGO,5,58
2017,COG,AGO,5,58
2018,COG,AGO,65,58
2020,COG,AGO,65,58
1995,COD,AGO,10846,0
1996,COD,AGO,9341,0
1997,COD,AGO,9322,0
1998,COD,AGO,10399,0
1999,COD,AGO,12845,0
2000,COD,AGO,11821,595
2001,COD,AGO,11933,636
2002,COD,AGO,11930,626
2003,COD,AGO,13015,619
2004,COD,AGO,13510,601
2005,COD,AGO,13464,594
2006,COD,AGO,12615,584
2007,COD,AGO,11380,584
2008,COD,AGO,11900,787
2009,COD,AGO,13364,1524
2010,COD,AGO,13648,1508
2011,COD,AGO,13648,1528
2012,COD,AGO,20740,1877
2013,COD,AGO,21104,2300
2014,COD,AGO,12944,500
2015,COD,AGO,12944,500
2016,COD,AGO,12944,500
2017,COD,AGO,38516,500
2018,COD,AGO,37077,498
2020,COD,AGO,22905,500
2000,COM,AGO,0,5
2001,COM,AGO,0,5
2002,COM,AGO,0,5
2003,COM,AGO,0,5
2006,ERI,AGO,5,42
2007,ERI,AGO,5,119
2008,ERI,AGO,5,138
2009,ERI,AGO,5,43
2010,ERI,AGO,6,43
2011,ERI,AGO,6,37
2012,ERI,AGO,6,977
2013,ERI,AGO,5,1270
2014,ERI,AGO,19,1784
2015,ERI,AGO,34,1767
2016,ERI,AGO,34,1767
2017,ERI,AGO,34,1767
2018,ERI,AGO,17,1767
2020,ERI,AGO,78,1774
2009,ETH,AGO,0,12
2010,ETH,AGO,0,5
2011,ETH,AGO,0,5
2012,ETH,AGO,0,35
2013,ETH,AGO,0,77
2014,ETH,AGO,0,58
2015,ETH,AGO,0,57
2016,ETH,AGO,0,57
2017,ETH,AGO,0,57
2018,ETH,AGO,0,57
2020,ETH,AGO,0,57
2000,GNB,AGO,0,5
2001,GNB,AGO,0,5
2005,GNB,AGO,0,5
2006,GNB,AGO,0,14
2007,GNB,AGO,0,14
2008,GNB,AGO,0,14
2009,GNB,AGO,0,17
2010,GNB,AGO,0,17
2011,GNB,AGO,5,14
2012,GNB,AGO,5,133
2013,GNB,AGO,5,167
2014,GNB,AGO,0,268
2015,GNB,AGO,0,268
2016,GNB,AGO,0,268
2017,GNB,AGO,0,268
2018,GNB,AGO,7,268
2020,GNB,AGO,7,268
2002,GIN,AGO,0,5
2003,GIN,AGO,0,17
2004,GIN,AGO,0,16
2005,GIN,AGO,5,10
2006,GIN,AGO,7,5
2007,GIN,AGO,10,5
2008,GIN,AGO,11,0
2009,GIN,AGO,20,94
2010,GIN,AGO,36,78
2011,GIN,AGO,84,0
2012,GIN,AGO,167,4553
2013,GIN,AGO,164,4562
2014,GIN,AGO,108,9141
2015,GIN,AGO,107,9145
2016,GIN,AGO,107,9145
2017,GIN,AGO,107,9145
2018,GIN,AGO,84,9144
2020,GIN,AGO,128,9145
2007,HTI,AGO,0,5
2008,HTI,AGO,0,5
2003,CIV,AGO,0,47
2004,CIV,AGO,20,46
2005,CIV,AGO,52,24
2006,CIV,AGO,99,532
2007,CIV,AGO,114,1549
2008,CIV,AGO,150,1520
2009,CIV,AGO,187,1234
2010,CIV,AGO,211,1213
2011,CIV,AGO,407,975
2012,CIV,AGO,407,4717
2013,CIV,AGO,407,4183
2014,CIV,AGO,513,5926
2015,CIV,AGO,510,5938
2016,CIV,AGO,510,5938
2017,CIV,AGO,510,5938
2018,CIV,AGO,417,5940
2020,CIV,AGO,417,5940
1995,LBR,AGO,5,0
1996,LBR,AGO,6,0
1997,LBR,AGO,7,0
1998,LBR,AGO,5,0
1999,LBR,AGO,5,0
2000,LBR,AGO,6,0
2001,LBR,AGO,6,0
2002,LBR,AGO,6,5
2003,LBR,AGO,19,16
2004,LBR,AGO,41,0
2005,LBR,AGO,51,0
2006,LBR,AGO,63,10
2007,LBR,AGO,65,24
2008,LBR,AGO,69,11
2009,LBR,AGO,73,158
2010,LBR,AGO,75,158
2011,LBR,AGO,160,73
2012,LBR,AGO,160,369
2013,LBR,AGO,160,328
2014,LBR,AGO,153,478
2015,LBR,AGO,155,478
2016,LBR,AGO,155,478
2017,LBR,AGO,155,478
2018,LBR,AGO,164,478
2020,LBR,AGO,164,478
2003,MRT,AGO,5,0
2004,MRT,AGO,5,0
2005,MRT,AGO,7,0
2006,MRT,AGO,10,18
2007,MRT,AGO,13,11
2008,MRT,AGO,16,10
2009,MRT,AGO,64,109
2010,MRT,AGO,83,90
2011,MRT,AGO,235,0
2012,MRT,AGO,235,2490
2013,MRT,AGO,235,2257
2014,MRT,AGO,299,5415
2015,MRT,AGO,306,5403
2016,MRT,AGO,306,5403
2017,MRT,AGO,306,5403
2018,MRT,AGO,324,5402
2020,MRT,AGO,323,5402
2013,NGA,AGO,0,5
1995,RWA,AGO,22,0
1996,RWA,AGO,21,0
1997,RWA,AGO,20,0
1998,RWA,AGO,176,0
1999,RWA,AGO,148,0
2000,RWA,AGO,165,5
2001,RWA,AGO,177,5
2002,RWA,AGO,176,0
2003,RWA,AGO,120,5
2004,RWA,AGO,148,0
2005,RWA,AGO,148,0
2006,RWA,AGO,91,0
2007,RWA,AGO,238,10
2008,RWA,AGO,278,33
2009,RWA,AGO,422,21
2010,RWA,AGO,444,10
2011,RWA,AGO,452,0
2012,RWA,AGO,452,258
2013,RWA,AGO,458,290
2014,RWA,AGO,257,85
2015,RWA,AGO,273,67
2016,RWA,AGO,273,67
2017,RWA,AGO,273,67
2018,RWA,AGO,501,67
2020,RWA,AGO,507,67
2006,SEN,AGO,0,10
2007,SEN,AGO,0,10
2008,SEN,AGO,0,10
2009,SEN,AGO,0,10
2010,SEN,AGO,0,10
2011,SEN,AGO,0,10
2012,SEN,AGO,0,11
2000,SLE,AGO,9,21
2001,SLE,AGO,15,5
2002,SLE,AGO,15,34
2003,SLE,AGO,57,33
2004,SLE,AGO,68,16
2005,SLE,AGO,76,5
2006,SLE,AGO,68,92
2007,SLE,AGO,77,263
2008,SLE,AGO,84,252
2009,SLE,AGO,216,462
2010,SLE,AGO,219,462
2011,SLE,AGO,413,261
2012,SLE,AGO,413,1288
2013,SLE,AGO,413,1065
2014,SLE,AGO,372,1498
2015,SLE,AGO,374,1497
2016,SLE,AGO,374,1497
2017,SLE,AGO,374,1497
2018,SLE,AGO,413,1497
2020,SLE,AGO,413,1497
2000,SOM,AGO,5,0
2001,SOM,AGO,5,0
2002,SOM,AGO,5,0
2003,SOM,AGO,6,0
2004,SOM,AGO,6,0
2005,SOM,AGO,10,0
2006,SOM,AGO,10,11
2007,SOM,AGO,27,18
2008,SOM,AGO,33,38
2009,SOM,AGO,35,55
